分析名称,算法名称,最优训练RMSE,最优验证RMSE,最优验证轮数,训练轮数总数,验证RMSE全记录
fold2,nc_mf_sgd,0.696217,0.860269,2,4,"[1.0253594285008052, 0.8602690360993362, 0.8676264550799684, 0.8791182463032192]"
fold2,nc_perturb,0.852721,0.90933,2,4,"[1.0266203352667496, 0.9093297311984715, 0.9326545297223374, 1.0362264469614704]"
fold2,nc_pgd_rankk,,0.950532,30,30,"[1.0434269253260728, 1.0383079109009754, 1.0332425613651148, 1.0283015137193232, 1.0231710507069962, 1.0178315761718184, 1.0130447364892947, 1.0091742652302758, 1.0049372642892556, 1.0006363653193548, 0.9968162587710925, 0.9930770405697277, 0.9896268724658378, 0.9864433964613136, 0.9830206274565452, 0.9801548300562503, 0.977487368510783, 0.9749502714509616, 0.9723721732135393, 0.9696529267019883, 0.9673384529420712, 0.9648031085182716, 0.96311054529282, 0.9609506695941432, 0.9588572488462388, 0.9567580160497923, 0.9551161704728067, 0.9534998958218835, 0.9519804979216382, 0.9505320763361571]"
fold2,nc_spec_alt,,0.944487,3,4,"[0.9910808429079535, 0.9547734172055014, 0.9444865206480734, 0.9618319128853319]"
fold3,c_fista_nuc,,1.007286,5,30,"[1.0468583785732668, 1.0443357575658427, 1.039888435030447, 1.0304570856709228, 1.007285990095606, 1.0330724225045402, 1.4300341962071808, 1.9219245817727706, 2.1505838076030606, 2.241981306354529, 2.2219856186868703, 2.2764614195261443, 2.337014697341242, 2.395652288186488, 2.380998033790472, 2.4296997987863675, 2.3878329031574785, 2.4115119958183517, 2.4564198468755545, 2.442855923764212, 2.4691968112842906, 2.461028717287772, 2.4721936326930107, 2.4759460542844463, 2.4749792066770295, 2.5105134391819166, 2.49457583032034, 2.511090935999184, 2.5312605226716873, 2.5263086680998526]"
fold3,c_fw_trace,,1.052209,4,30,"[1.052426531048848, 1.0522555709373085, 1.0522186364322261, 1.052208512055026, 1.0522824157279427, 1.0522511109624193, 1.0522262477401638, 1.0522701427160004, 1.0523063528375312, 1.0523509549598078, 1.0523373424507942, 1.0523536744723945, 1.0523462097088738, 1.0523789010485332, 1.052382765026166, 1.0523497334029241, 1.052333437494407, 1.0523169595319233, 1.0523121417777352, 1.0523269882556108, 1.0523244968520449, 1.0523475546316594, 1.0523294082320573, 1.0523391576476777, 1.052331077817776, 1.0523427054812942, 1.0523169103712775, 1.0523135108606836, 1.0522933751441155, 1.0522936664042326]"
fold3,c_ista_nuc,,0.975164,30,30,"[1.046995698422945, 1.0450290288558477, 1.0423506804328273, 1.0399576850377745, 1.0366090364009866, 1.0334500582709891, 1.0303340891620847, 1.027194336514774, 1.0240423723430014, 1.0208726317017054, 1.0179603659780454, 1.0152390735598293, 1.0124552733154948, 1.0098620158960414, 1.0071714156237088, 1.0045300414315426, 1.0020911265658163, 0.9996015758592636, 0.9972410339763176, 0.9949496817543897, 0.9925986136330874, 0.9905127361400548, 0.9883921414719582, 0.9862969216026727, 0.9844579788764157, 0.9825634132703597, 0.9805883230650164, 0.9786875361276105, 0.9769031782019774, 0.9751642533188736]"
fold3,c_softimpute,,0.91905,30,30,"[1.0290413019070213, 1.0137131677904305, 1.0028583031016058, 0.9917801964748425, 0.9827025421398347, 0.9768013291130235, 0.9689114190277166, 0.968198682641201, 0.9613574644710159, 0.9571613811706938, 0.9533132059859318, 0.9509677467734589, 0.951218413766416, 0.9484771372212207, 0.9485041370567427, 0.9433170858867923, 0.9404774081099613, 0.9375738397211952, 0.9349876965734171, 0.9328165117362911, 0.9299115279926845, 0.9279233085635715, 0.9270931999717454, 0.9259688756371318, 0.9255958950413646, 0.9244480240922576, 0.921816367602464, 0.9214970758773439, 0.9192548182546223, 0.9190497859310862]"
fold3,nc_mf_sgd,0.696697,0.861217,2,4,"[1.0126816069126015, 0.8612168332379416, 0.8676159587788955, 0.878990794211376]"
fold3,nc_perturb,0.858089,0.909813,2,4,"[1.02777012631049, 0.9098125584207251, 0.9628869893152662, 0.9858330081987358]"
fold3,nc_pgd_rankk,,0.952524,30,30,"[1.0451287894970018, 1.0401572114198965, 1.0351892879296933, 1.0300351911660806, 1.024948297084197, 1.019838520504469, 1.0148624817180756, 1.0098850225245617, 1.0058631710066417, 1.0022130701502427, 0.9983789448689117, 0.9948719125773339, 0.9918043921503101, 0.9882967879563487, 0.9850889493163213, 0.9822440263668408, 0.979293159350866, 0.9765565606991368, 0.9740861443747147, 0.9726682629251137, 0.9699533257704218, 0.9677457756353043, 0.9656028819052652, 0.9636946803890215, 0.9618490993297807, 0.9599674263000938, 0.958055944656258, 0.9562866712640566, 0.9542359996069713, 0.9525241745726933]"
fold3,nc_spec_alt,,0.946829,3,4,"[0.9923653557252711, 0.9541554537042424, 0.9468289629615615, 0.9621630455995627]"
fold4,c_fista_nuc,,0.992614,5,30,"[1.0462901126265585, 1.0432371068260216, 1.0387318599339455, 1.0179226508874069, 0.992613504468139, 1.0357551160436131, 1.3724982678863458, 1.8695969949071294, 2.262155395734616, 2.3592140169103524, 2.3750709991404864, 2.3259864323235115, 2.3531844461567717, 2.424269475531613, 2.4415457197647554, 2.4608919264825233, 2.4865902500355928, 2.5154563335116147, 2.5144515122586033, 2.479303036267818, 2.4668675930727937, 2.5229761692770274, 2.5082806851461843, 2.52238263814118, 2.51575958003263, 2.522838252365458, 2.5255324550819305, 2.518222886215045, 2.538941529345969, 2.547189662857285]"
fold4,c_fw_trace,,1.051316,6,30,"[1.0517695408585295, 1.051759666841388, 1.0516872548592737, 1.0514874731597064, 1.0514525964942087, 1.0513163772030178, 1.051344789843795, 1.051431485271466, 1.0514822640729389, 1.051470944809341, 1.0514906294375996, 1.0514818377217918, 1.0514789127067545, 1.051481115989717, 1.0514781677508467, 1.0515010800122937, 1.0515154074689976, 1.0514911598176813, 1.0514878688560416, 1.0514546920806442, 1.0514320881366561, 1.0514559776688372, 1.051448226031223, 1.0514653510826377, 1.051467687224194, 1.0514742107442845, 1.0514688260332656, 1.051466261388911, 1.0514426897757279, 1.0514389620758657]"
fold4,c_ista_nuc,,0.97542,30,30,"[1.0460427012051612, 1.043172876115504, 1.0401024663640381, 1.0370724234002568, 1.0339607993102156, 1.031169123723875, 1.0285094604886449, 1.0257048286179886, 1.0225084207221233, 1.0196022854556432, 1.0168947720036214, 1.0142022897638885, 1.0114552920599584, 1.0088660285632243, 1.0062178555531285, 1.003633006526395, 1.0012075874292203, 0.9991162571379443, 0.9969070039009753, 0.994685076969103, 0.9925094208840328, 0.9903027096839502, 0.9882798858472701, 0.9863569747123749, 0.9844992055464685, 0.9824583318365209, 0.9806248674082806, 0.9787968189889311, 0.9770376339489023, 0.9754200811979912]"
fold4,c_softimpute,,0.920984,30,30,"[1.0303497854566166, 1.0136184878740988, 1.0021369377648446, 0.9926467784084254, 0.9901742043239168, 0.9791464930090052, 0.9737128924381644, 0.9693550649028527, 0.9668777108317219, 0.9611088462281014, 0.9573692390694298, 0.953971993795394, 0.9495846545828537, 0.9458924358352458, 0.9436053230323836, 0.9416002894646324, 0.9408119606130343, 0.9406230493714519, 0.9385356832102377, 0.9344922810154958, 0.9323994284944634, 0.9313857550671191, 0.9295911433762483, 0.9268424608203691, 0.9260362331710866, 0.9236798816519692, 0.9229166378754114, 0.9217990876559978, 0.9219600119536241, 0.9209838166032319]"
fold4,nc_mf_sgd,0.696503,0.860501,2,4,"[0.9743911030608832, 0.8605009078080958, 0.8655218495094449, 0.8807129684625048]"
fold4,nc_perturb,0.486685,0.855061,8,30,"[1.08225078814205, 0.8915972251967029, 0.9630212677504876, 0.8991446588231733, 1.0091367203138246, 0.8652810903737946, 0.8719331473814284, 0.855061326598265, 0.8606774030612464, 0.8699773704193254, 0.8768049757825005, 0.886045918453802, 0.8921880025284394, 0.8990557188107363, 0.9056869615088718, 0.9097757354973692, 0.9152009324983785, 0.9198144019773783, 0.9230319947012195, 0.9272887627341247, 0.9305223344767972, 0.933302974988544, 0.9366565357578418, 0.9390632816507906, 0.9416051054771114, 0.9441881161928953, 0.9462087657192461, 0.9485421414067599, 0.9504855604913754, 0.9524453028876056]"
fold4,nc_pgd_rankk,,0.948746,30,30,"[1.0438186517489882, 1.038301654101456, 1.0322323127387831, 1.0265516308068268, 1.021557573266203, 1.0166526469758486, 1.011911178251051, 1.0080655797478544, 1.0036101390875938, 0.9994232898578702, 0.9956169115356936, 0.9921189769671759, 0.9887970172536087, 0.9856053540347859, 0.9822726762280741, 0.9794580167162464, 0.9763846192654804, 0.9736041815516672, 0.9709228099591466, 0.9688042566818291, 0.9663479404847178, 0.963916857112631, 0.9620557184426751, 0.9597903476106021, 0.9577085267879274, 0.9562510070189102, 0.9543369484237861, 0.9523799278933532, 0.9503719811024897, 0.9487464325822033]"
fold4,nc_spec_alt,,0.908258,3,30,"[0.9793490739248479, 0.9175014044895915, 0.9082583061375626, 0.9218096645260163, 0.9344878939651368, 0.9444427551974295, 0.9524193882639864, 0.9589583631767324, 0.9645369754732573, 0.9693960775344137, 0.9737091279572685, 0.9777257868841498, 0.9812322334377045, 0.9846213413270923, 0.9877219934037409, 0.9906112702589682, 0.993206422655049, 0.9956578110899101, 0.9979489050141629, 1.000024426711411, 1.002011772861655, 1.0038564937626289, 1.0055163297554621, 1.007065827801735, 1.0085381550775037, 1.0099016110565613, 1.0111258587830694, 1.0123436815209519, 1.0134101605414965, 1.0144405515724695]"
